Model,Accuracy,Precision,Recall,F1-Score,AUC
Random Forest,0.8561224489795919,0.8573114034951222,0.8561224489795919,0.8559876631274301,0.9811951285063608
XGBoost,0.8571428571428571,0.8585466422138619,0.8571428571428571,0.8572472981544815,0.9779288325938408
LightGBM,0.8806122448979592,0.883217180287334,0.8806122448979592,0.8810961007022182,0.9848087748961866
ANN,0.9091836734693878,0.9102785786141222,0.9091836734693878,0.9093245081807529,0.9911535750713077
